section,name,value
sizes,train,94603
sizes,val,11826
sizes,test,11825
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,1814
drug_overlap,train__test,1821
drug_overlap,val__test,1634
target_overlap,train__val,225
target_overlap,train__test,225
target_overlap,val__test,222
scaffold_overlap,train__val,1086
scaffold_overlap,train__test,1080
scaffold_overlap,val__test,990
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
