section,name,value
sizes,train,94603
sizes,val,11826
sizes,test,11825
row_overlap,train__val,0
row_overlap,train__test,0
row_overlap,val__test,0
pair_overlap,train__val,0
pair_overlap,train__test,0
pair_overlap,val__test,0
drug_overlap,train__val,1838
drug_overlap,train__test,1839
drug_overlap,val__test,1671
target_overlap,train__val,226
target_overlap,train__test,226
target_overlap,val__test,224
scaffold_overlap,train__val,1088
scaffold_overlap,train__test,1089
scaffold_overlap,val__test,1002
validation,ok,True
validation,violations,[]
validation,empty_splits,[]
